,Risk Off,Risk On,BTC
02/05/2017,137.1361176,662.06759,1436.94
03/05/2017,137.7247369,680.7302808,1463.82
04/05/2017,138.6897783,720.1313724,1519.41
05/05/2017,139.0680748,734.5299182,1539.83
06/05/2017,138.9965267,727.1334765,1529.85
07/05/2017,139.7279576,757.9912654,1573.29
08/05/2017,139.3608148,723.2392818,1526.27
09/05/2017,140.8546927,839.8201234,1685.09
10/05/2017,141.4632068,863.9687622,1719.23
11/05/2017,142.0033298,910.5875868,1782.50
12/05/2017,142.3119834,950.0866703,1835.49
13/05/2017,141.4746081,852.8048311,1704.66
14/05/2017,141.9534905,908.7148196,1779.84
15/05/2017,142.078912,919.5868838,1794.59
16/05/2017,141.92494,875.9889999,1736.88
17/05/2017,142.3363773,890.0706509,1757.03
18/05/2017,142.7902696,928.1385775,1808.75
19/05/2017,142.9630424,992.9067695,1894.25
20/05/2017,143.0346306,1048.674215,1967.55
21/05/2017,143.0912205,1110.046028,2048.12
22/05/2017,143.1094055,1107.776535,2045.22
23/05/2017,143.1169714,1133.513039,2078.94
24/05/2017,143.128152,1269.720782,2257.29
25/05/2017,143.1287431,1390.205313,2415.01
26/05/2017,143.1283199,1317.323124,2319.60
27/05/2017,143.1285482,1286.625495,2279.42
28/05/2017,143.1109657,1107.067238,2044.30
29/05/2017,143.1238201,1245.603859,2225.70
30/05/2017,143.1265149,1290.678663,2284.72
31/05/2017,143.1213446,1200.970324,2167.26
01/06/2017,143.1265907,1301.921059,2299.43
02/06/2017,143.1281376,1378.656902,2399.89
03/06/2017,143.1286582,1439.415505,2479.42
04/06/2017,143.1288344,1492.987978,2549.55
05/06/2017,143.128846,1474.227221,2524.99
06/06/2017,143.1289163,1596.704381,2685.32
07/06/2017,143.1289261,1738.812998,2871.34
08/06/2017,143.1289176,1613.083903,2706.76
09/06/2017,143.1289255,1686.271219,2802.56
10/06/2017,143.1289266,1688.03492,2804.87
11/06/2017,143.1289274,1773.179357,2916.33
12/06/2017,143.1289275,1817.40083,2974.21
13/06/2017,143.1289244,1581.513083,2665.43
14/06/2017,143.1289267,1613.372499,2707.14
15/06/2017,143.1288866,1412.219243,2443.82
16/06/2017,143.1288973,1386.29314,2409.89
17/06/2017,143.1289222,1437.07337,2476.36
18/06/2017,143.1289273,1571.828021,2652.76
19/06/2017,143.1289266,1461.40848,2508.21
20/06/2017,143.1289275,1523.613897,2589.64
21/06/2017,143.1289275,1633.302501,2733.23
22/06/2017,143.1289275,1561.519491,2639.26
23/06/2017,143.1289275,1597.719303,2686.65
24/06/2017,143.1289275,1597.125695,2685.87
25/06/2017,143.1289275,1502.641635,2562.19
26/06/2017,143.1289275,1453.398452,2497.73
27/06/2017,143.1289275,1398.881327,2426.37
28/06/2017,143.1289275,1478.315296,2530.35
29/06/2017,143.1289275,1503.102374,2562.79
30/06/2017,143.1289275,1486.029091,2540.44
01/07/2017,142.0422067,1394.678127,2452.71
02/07/2017,141.54097,1352.682807,2412.37
03/07/2017,142.8800677,1463.377803,2518.87
04/07/2017,143.3055434,1497.630658,2551.93
05/07/2017,143.9195122,1547.196196,2599.74
